ax_mean,ax_std,ax_min,ax_max,ax_energy,ay_mean,ay_std,ay_min,ay_max,ay_energy,az_mean,az_std,az_min,az_max,az_energy,gx_mean,gx_std,gx_min,gx_max,gx_energy,gy_mean,gy_std,gy_min,gy_max,gy_energy,gz_mean,gz_std,gz_min,gz_max,gz_energy,sma,label
214.68,920.1315274126267,-2516,908,888496.32,-2533.32,254.9876686347379,-3416,-1996,6482403.84,14964.42,181.1664705464321,14160,15340,223966523.1,-211.215,181.32709769028983,-1164,304,77326.895,47.485,331.5196770272941,-1499,2857,111610.595,-198.105,61.889137185030606,-417,73,43056.705,6096.073333333334,0
155.3,915.8513791788047,-2516,908,858707.92,-2571.04,271.14504712960286,-3416,-1996,6683398.72,14949.16,183.71032036618203,14160,15340,223510965.4,-199.765,217.0523633068422,-1164,628,86782.225,6.93,424.02866251371006,-2707,2857,178949.33,-207.05,87.28223440203084,-698,73,50449.8,6093.486666666667,0
559.96,210.67052177207563,-1208,816,357715.36,-2616.38,147.0987621604809,-3248,-2260,6866974.16,14991.24,105.62730726569247,14564,15240,224748378.1,-190.15,132.15894762438876,-743,628,53535.68,-35.195,258.72988373725497,-2707,95,67845.135,-216.41,67.99291937714644,-698,-81,51433.21,6065.58,0
597.6,75.63041583,364,824,362817.12,-2546.48,163.2649589905037,-2916,-2104,6511082.56,15005.54,95.90420472,14600,15240,225175382.3,-196.155,85.76789395319106,-539,80,45796.135,4.715,27.058168775573805,-76,99,750.715,-209.66,40.80871421374232,-369,2,45614.34,6049.873333333333,0
578.68,70.43880839880255,364,824,339807.36,-2382.72,109.97213717471288,-2748,-2104,5689388,15011.56,94.09482226929093,14600,15272,225355743.2,-194.68,80.96613598214624,-539,80,44423.04,5.725,26.56573103316815,-76,99,734.985,-205.31,36.00480007083366,-369,2,43442.06,5990.986666666667,0
197.04,1019.3080510398084,-3500,1244,1072618.72,-2413.18,221.83765987019294,-3304,-2032,5872403.6,14967.28,220.04138852342433,14140,15728,224067646.7,-192.805,126.5511078,-719,419,53108.875,15.985,520.5453023841161,-2710,2426,269868.095,-199.45,93.28487465,-623,228,48438.86,6059.673333333333,0
-2.06,1256.9684182278052,-3612,1244,1572074,-2487.76,256.8627547424292,-3304,-2008,6254598.4,14945.56,261.53617772940424,14008,15728,223437822.9,-194.54,206.3464141027542,-899,1049,80211.76,18.975,809.0418207444952,-2988,2530,651635.975,-204.005,167.02232563734265,-1153,394,69375.015,6129.58,0
420.48,846.2133031168082,-3612,1072,889300,-2441.78,174.85543662864177,-3188,-2008,5992711.12,14997.14,173.99006614050668,14008,15492,224944329.4,-188.22,172.5840021234434,-899,1049,65063.08,11.73,619.7872038,-2988,2530,382353.09,-209.04,140.9837597119348,-1153,394,63474.76,6071.786666666667,0
664.46,69.39703265056453,436,832,446298.96,-2342.02,94.94393796753914,-2588,-2116,5494026.96,15034.86,91.88008571368319,14772,15272,226055415,-190.085,56.154379586401525,-361,-16,39269.855,6.98,24.11508420951834,-106,56,627.35,-205.02,28.872090120732487,-300,-130,42862.63,6013.78,0
160.66,1262.8314538385637,-3884,820,1612581.2,-2399.28,270.33684850255145,-3340,-2012,5829261.12,14966.68,247.23080909309044,13996,15372,224062327.7,-219.805,206.59492805120462,-818,1657,90782.295,-3.93,604.9845507392448,-2663,2802,364191.72,-206.76,107.06904924642164,-751,184,54156.16,6103.74,0
124.7,1248.6690280889256,-3884,812,1566928.56,-2508.96,246.22749296424493,-3340,-2012,6355205.12,14953.16,243.10374649064738,13996,15372,223655797.9,-218.17,210.3296553498769,-818,1657,91615.52,-2.365,604.9189170924326,-2663,2802,364102.855,-211.16,107.60127588864513,-751,184,56108.69,6123.806666666666,0
605.58,64.05386866109073,436,812,370809.52,-2502.96,72.14417725331538,-2728,-2304,6269987.52,15018.74,95.75981469568936,14792,15252,225571675.3,-195.915,61.41053692344768,-364,-28,42135.085,5.675,19.882806769295065,-49,66,425.555,-207.095,27.46978193575606,-280,-121,43639.155,6042.426666666666,0
606.46,63.41780102965717,432,808,371795.44,-2448.26,88.81674657609233,-2628,-2152,6001826,15017.1,93.61693571820398,14792,15260,225522012.7,-195.76,51.937461427157636,-441,-83,41005.99,7.075,19.164177611303543,-36,66,415.485,-206.4,23.318636194465775,-263,-136,43142,6023.94,0
607.8,62.57682715256832,432,800,373317.12,-2357.88,89.75402231996661,-2628,-2108,5567613.6,15029.56,93.08366798870335,14800,15400,225896295,-200.855,68.76150593531574,-441,-24,45047.235,7.95,21.205562463584524,-46,65,510.63,-205.04,26.327821232572045,-263,-137,42731.09,5998.413333333333,0
615.16,62.254578649397914,460,800,382278.08,-2296.86,97.00137490607204,-2596,-2012,5284928.08,15041.7,104.96608688993281,14756,15400,226263701.7,-205.17,86.12630143571113,-605,4,49475.38,8.13,23.32818296831142,-78,91,607.58,-203.14,31.356763754664307,-291,-69,42244.19,5984.573333333334,0
625.36,70.34781071477498,460,856,395999.2,-2266.64,120.41699073756766,-2596,-1808,5152084.64,15042.6,116.18716489540556,14672,15356,226293246.7,-204.385,91.14688997856054,-605,76,50039.445,5.835,29.648828648042826,-98,100,908.705,-211.13,39.11576813233909,-379,-69,46098.27,5978.2,0
-13.5,71.56814934033156,-228,252,5278.64,249.28,103.4043708921339,-60,492,72779.52,15181.16,142.85507432816846,14848,15756,230487924.5,-229.5,188.04687750851787,-1017,204,87855.07,16.37,41.44164753908523,-90,147,1976.8,-207.94,33.67501198456808,-318,-79,44367.38,5163.046666666667,0
-50.6,75.65672275807658,-228,176,8255.68,153.4,118.17829983869213,-136,492,37427.84,15162.12,150.30256118741787,14820,15756,229912360.8,-229.62,199.66830685869775,-1017,429,92393.44,16.565,43.83805023311605,-127,147,2186.565,-209.55,33.78676110743161,-318,-79,45047.04,5133.6,0
